Year,BALÃ,BAM,BANWA,BAZÃGA,BOUGOURIBA,BOULGOU,BOULKIEMDÃ,COMOÃ,GANZOURGOU,GNAGNA,GOURMA,HOUET,IOBA,KÃNÃDOUGOU,KADIOGO,KOMANDJARI,KOMPIENGA,KOSSI,KOULPÃLOGO,KOURITTENGA,KOURWÃOGO,LÃRABA,LOROUM,MOUHOUN,NAHOURI,NAMENTENGA,NAYALA,NOUMBIEL,OUBRITENGA,OUDALAN,PASSORÃ,PONI,SÃNO,SANGUIÃ,SANMATENGA,SISSILI,SOUM,SOUROU,TAPOA,TUY,YAGHA,YATENGA,ZIRO,ZONDOMA,ZOUNDWÃOGO
2015Q2,163.1666667,8252.833333,153.6666667,195,194.6666667,5619.444444,191.6666667,218,179.3333333,228.3333333,9006,6666.125,182.1666667,183,6136.777778,162.5,161.6666667,5538.888889,166.3333333,199,183.6666667,220.3333333,172.3333333,8171.351667,207.6,201.5,161.8333333,197.3333333,201.6666667,234,197.6666667,247.6666667,251,178.1666667,221.5,190,197.8333333,180,192.6666667,142,7655.444444,202.6366667,164.3333333,192.6666667,188.3333333
2015Q3,165.1666667,8851,151,216,208,5900.444444,200,211,173.6666667,232.6666667,9345.5,6227.888889,198.3333333,174,6198.555556,175,147,5764.666667,164,204.5,204,188.3333333,172,8509.5,223.1666667,209.1666667,166.1666667,210,213.3333333,240.3333333,200.3333333,259.3333333,239.6666667,187.6666667,216.6666667,198,207.1666667,185.3333333,191.6666667,160,8496.222222,204.6666667,165,190.6666667,201.6666667
2015Q4,153.6666667,8596,137.6666667,208.6666667,174.6666667,5564.777778,196.3333333,210.3333333,166.6666667,216,9004,6446.111111,178.8333333,192.6666667,5917.222222,131.1666667,147.6666667,5032.444444,147,195.1666667,211,185.3333333,142.6666667,8002.833333,172.6666667,193.1666667,158.6666667,213.3333333,202.3333333,226.6666667,201.3333333,245.3333333,160,160.8333333,194.6666667,216,183.6666667,170,184.8,144.3333333,7085.333333,200.3333333,164,173,192.6666667
2016Q1,154.6666667,8095,130.6666667,208.3333333,180.6666667,5506.555556,184.3333333,194.3333333,167.3333333,223,8579.5,5383.111111,161.8333333,189.6666667,5578.333333,136.8333333,131.6666667,4974.666667,168.6666667,189,170,192,151,7414.833333,178,182.6666667,152.6666667,211.3333333,193.6666667,246.6666667,192.3333333,242.6666667,184.6666667,163,216.3333333,212.3333333,187.1666667,169,150.6,134.6666667,7364.777778,197.3333333,139.3333333,182.6666667,193
2016Q2,157.3333333,8267,151,227.6666667,213.3333333,5855.222222,183,210.6666667,178.6666667,227.3333333,9001,5222,175.5,209.3333333,6027.444444,158,152.6666667,5428,190.6666667,197.8333333,170.3333333,208.3333333,172,8084.666667,194.1666667,189.5,157,225,199.6666667,257.6666667,206,258.6666667,217,180.3333333,183.6666667,214.6666667,204.8333333,183,154,139,7656.777778,194.6666667,151.6666667,198,208.6666667
2016Q3,151.6666667,8852.166667,138.3333333,218,191,6190.111111,183,209,170.3333333,225.6666667,9339.666667,5945.888889,164.2,232.6666667,6252,163,153,5654,181.3333333,200.3333333,168.6666667,187,168.3333333,8423,196.1666667,192.8333333,151.1666667,222.6666667,201.6666667,250.6666667,198.3333333,259.6666667,217,173.1666667,190.6666667,193.6666667,219,184.3333333,163.1666667,142,7658.666667,194,163,211,212.6666667
2016Q4,161.5,8920.166667,156,208,185,5741.333333,188.6666667,232,166.3333333,184,8581.666667,6233.777778,163.3333333,222,6368.444444,122.3333333,137.5,5680.333333,165,202,188.3333333,214.6666667,170,8425.666667,161.3333333,198.5,163.2,223,211.6666667,250,233.6666667,260,167.6666667,170.2,208,170.6666667,182,183.3333333,126.1666667,125.3333333,7243.777778,194.6666667,167,227.6666667,197.6666667
2017Q1,155,8675,145.3333333,194,184.3333333,5727.111111,196.3333333,213.3333333,172.3333333,212.3333333,9086.166667,5950.444444,176.5,194.8333333,6201,123.3333333,142,5706.333333,159,191.1666667,198.6666667,191,171,8506.666667,186.6666667,187,160.5,193,213.6666667,250,218.6666667,274.3333333,201.3333333,188.3333333,193.3333333,155,210.1666667,187.6666667,167.6666667,123.3333333,7139.666667,205,154,207.6666667,201
2017Q2,183.8333333,9191.833333,178.3333333,216,203,7354.777778,222.6666667,245,206.6666667,226,10603,6803.666667,206.6666667,227.5,7273.666667,157.1666667,174,6617.222222,183.6666667,214.6666667,218,234.3333333,190.6666667,9852,234,206.6666667,181.2,205,223.3333333,256.6666667,238.6666667,277.3333333,244,210.6666667,224.6666667,209,231.5,203.6666667,202.3333333,134,8109.777778,214,185,240.6666667,219.6666667
2017Q3,194,9536.5,190.3333333,235.6666667,237.3333333,7529,247.3333333,262.6666667,232,253.6666667,11857.16667,7654.333333,230.6666667,251,8011.888889,182.6666667,188.3333333,7180.444444,188.6666667,232.1666667,231,250,214.6666667,10784.83333,237.8333333,226.6666667,184.5,208,241.6666667,312,273.6666667,295.6666667,290.3333333,236.5,231.3333333,240,268.5,211.3333333,235.1666667,162,8860.222222,252,194,253.6666667,229.6666667
2017Q4,210.8333333,9540.5,176.6666667,248.3333333,264.3333333,6582.777778,254,268,219.3333333,261.3333333,10777.16667,7650.555556,244.5,284.1666667,7851.333333,167.8333333,164.5,6781.444444,191,237.3333333,253,273.3333333,169.3333333,10117.83333,254.3333333,223.1666667,187,212.6666667,257.3333333,327,284.6666667,352.6666667,212,231.1666667,232.6666667,277.6666667,190.8333333,222.6666667,210.6666667,198,9223.111111,240,212.6666667,261.6666667,231
2018Q1,208.5,9455.5,171.6666667,251.3333333,265.6666667,7139.888889,238.6666667,252,220.6666667,292.6666667,10942.16667,7642.111111,218.3333333,252,7456,200.8333333,190,7177.111111,224.3333333,240.3333333,244.3333333,250,203.6666667,10269.33333,235.6666667,240.5,193,212.6666667,274.3333333,285,249,314.6666667,233.3333333,222.8333333,250.3333333,257.6666667,230.6666667,220,257.5,172.6666667,8737.444444,247.3333333,212.3333333,247.3333333,220
2018Q2,221.3333333,9295.666667,193.3333333,249.3333333,274.3333333,7708.666667,242.3333333,275,235.3333333,264,11448.5,7653.444444,241.8333333,271.6666667,7681.222222,205,209.3333333,7578.888889,248.6666667,256.6666667,262.3333333,273,255.6666667,10781.5,282.3333333,243.3333333,200.5,221.6666667,274,312.6666667,250.6666667,303.6666667,287,231,255,236,241.3333333,237,281.1666667,198.6666667,8758.444444,253.3333333,202.6666667,267,215.3333333
2018Q3,217,9787.5,200,244.3333333,276,7590.333333,250,280,218.6666667,260.6666667,11450,7654.333333,255.5,277.5,7682.222222,222.6666667,182.6666667,7246.555556,228.3333333,262.3333333,272,267.6666667,239,10871.66667,264.3333333,247.5,195.8333333,234,256.3333333,318,253,311.3333333,287.3333333,241,221.6666667,238.3333333,240.8333333,238,267.1666667,199,9086.555556,253.3333333,198,254.3333333,211
2018Q4,181,8925.666667,149.6666667,215.3333333,261.6666667,6072.111111,236,239.3333333,186.3333333,205.3333333,10278,7626.777778,213.1666667,231,6889,170.1666667,182,6045.222222,217,228.8333333,238,272,173,8856.666667,236,216,161.8333333,229.6666667,222.3333333,281.6666667,221,276.3333333,197.6666667,185.5,190,214.3333333,190.6666667,184.6666667,188.1666667,151.3333333,8043,213.6666667,188.3333333,212,196.3333333
2019Q1,146.6666667,8574.833333,125,182,210.6666667,5886,202,228.6666667,172.3333333,187,9353.333333,7614.111111,189.5,173.8333333,5985,166.3333333,151.3333333,5264.888889,152.3333333,204.8333333,228,257.6666667,163.6666667,7507,215.8333333,198.8333333,144.8333333,193.6666667,199.6666667,267,199.3333333,261,217,159.1666667,178,196.3333333,190.6666667,176,225.6666667,151.3333333,7371.555556,201.6666667,176.6666667,198.6666667,173.6666667
2019Q2,151,8825,113,169.6666667,209.3333333,5548,184.6666667,207,159.6666667,184,9260,6777.111111,171.6666667,185.3333333,5708.888889,161,127.3333333,4979.666667,142,201.8333333,161,275,177.3333333,7335,225.3333333,195.1666667,132.3333333,207,191.6666667,248.1666667,183.6666667,254.3333333,216.3333333,156,180.6666667,178.3333333,187.8333333,167,257.3333333,130.6666667,6826,197,159.6666667,190.6666667,168.6666667
2019Q3,133.5,8827.166667,108,169.3333333,152.6666667,5204.222222,179,196,143,194.3333333,8579.5,5821.777778,147.3333333,177.5,5421.666667,157,119.3333333,5043.111111,123.6666667,191.6666667,163,242.3333333,151.6666667,7328.333333,201,175.5,126.6666667,235,191.3333333,241.1666667,179.3333333,244.3333333,216.3333333,151.8333333,182.3333333,173,193.5,130.6666667,153.8333333,123,6590.777778,189,151,154,155.6666667
