Year,BALÃ,BAM,BANWA,BAZÃGA,BOUGOURIBA,BOULGOU,BOULKIEMDÃ,COMOÃ,GANZOURGOU,GNAGNA,GOURMA,HOUET,IOBA,KÃNÃDOUGOU,KADIOGO,KOMANDJARI,KOMPIENGA,KOSSI,KOULPÃLOGO,KOURITTENGA,KOURWÃOGO,LÃRABA,LOROUM,MOUHOUN,NAHOURI,NAMENTENGA,NAYALA,NOUMBIEL,OUBRITENGA,OUDALAN,PASSORÃ,PONI,SÃNO,SANGUIÃ,SANMATENGA,SISSILI,SOUM,SOUROU,TAPOA,TUY,YAGHA,YATENGA,ZIRO,ZONDOMA,ZOUNDWÃOGO
2019Q4,132.6666667,8819.833333,112.3333333,174.3333333,149.3333333,4927,157.6666667,188,157,175,8410.166667,5601,143.3333333,175.5,5467.222222,140.6666667,116,4751.666667,138.3333333,184.8333333,154.6666667,275.6666667,137.3333333,7246.833333,165.1666667,166.1666667,128.3333333,208,178.6666667,217.3333333,176.3333333,238,188.6666667,149.6666667,162,164.3333333,190.3333333,120.3333333,128.6666667,140,6353.444444,187,160.6666667,170.3333333,165.3333333
2020Q1,148.6666667,8824.5,121.3333333,176.3333333,182.3333333,5265.444444,171,196.6666667,155.6666667,168,8579.666667,5607.555556,156.3333333,180.5,5641.666667,148.3333333,126,5090.555556,130,190.8333333,167.6666667,254.3333333,140,7579.666667,189.8333333,172.1666667,136,175,185.6666667,236.1666667,184.6666667,234,202,166.5,198,133.3333333,200.8333333,132,181,138,6584.111111,185,162.3333333,171,166.3333333
2020Q2,190,8331,137.3333333,197.6666667,225,5996,194.6666667,201.3333333,194,179.5,8920.166667,6505.333333,167.4,193.3333333,6089.555556,161.3333333,152,5541.111111,147.6666667,196.1666667,174.3333333,266,131.6666667,8252.833333,206,190.5,148.3333333,213,194,238.5,200,259,215.3333333,176.6666667,174.3333333,135,207.6666667,151,196,137,6880.888889,187,184,183.6666667,185.6666667
2020Q3,222.5,8332.833333,166.6666667,209.3333333,236.3333333,7354.111111,230.3333333,247.3333333,213.6666667,215,9606.5,7357.111111,185.3333333,219.6666667,7559.444444,175.6666667,188,6335.555556,180.6666667,228,208.6666667,275.3333333,157,10441.33333,234.8333333,209.6666667,163.3333333,206.6666667,224.6666667,275.1666667,247,267.6666667,233,211.1666667,199.6666667,212,231,186.6666667,249,165.6666667,8059.777778,222.6666667,192,213,216.3333333
2020Q4,260.5,8843.666667,158.6666667,220.6666667,256.3333333,6820.666667,229.3333333,253.6666667,209.6666667,174.6666667,10276.83333,7080.777778,221.5,236.1666667,7393.666667,150.1666667,161,6444.333333,210.3333333,234.5,194.3333333,268.3333333,152,10029.33333,286.3333333,203,168.8333333,255.6666667,238.6666667,245.5,260.6666667,286.6666667,177.6666667,203.1666667,193.3333333,224,221,199.3333333,147,203,7600.666667,213.3333333,229,215.3333333,227.3333333
2021Q1,228.8333333,8589.333333,144.3333333,241.6666667,268.3333333,6706.444444,236.3333333,234,215.6666667,180.3333333,9771.166667,6347.333333,227.3333333,233,6610.666667,167.5,197.3333333,5773.555556,211,236.6666667,186.6666667,256.3333333,165.3333333,8688.166667,277.3333333,198.8333333,167.6666667,232.3333333,233.3333333,243.3333333,257,259,216.6666667,201,219,171.6666667,230.1666667,193.6666667,216.3333333,185.3333333,7489.222222,205,197.3333333,226,223
2021Q2,227.1666667,9267.5,161,249,269.3333333,7221.888889,251,257.3333333,216.3333333,216,10277.66667,6804.222222,231.6666667,242.3333333,7170.222222,202.8333333,238,6508,239.6666667,245.3333333,246.3333333,285,180.3333333,9939.833333,303.6666667,232,179.5,291.6666667,243.6666667,258,254.6666667,312,259,215.5,214.3333333,250.6666667,240,199.3333333,281.5,196,7833.444444,206,198.6666667,229.6666667,233.6666667
2021Q3,213.8333333,9942.333333,155,232,265.3333333,7270.111111,251,258.3333333,204.3333333,232.6666667,10862.83333,7080.777778,231.8333333,224.1666667,7224.444444,211.6666667,196.3333333,6399.888889,241.3333333,250,229,257.6666667,199,10193,303,227,172,322.3333333,226.6666667,256.3333333,247.6666667,293.6666667,250.3333333,217.3333333,207.3333333,255.6666667,240,199.6666667,287.8333333,196.3333333,7951.666667,207,209.6666667,221.3333333,199.6666667
2021Q4,221.8333333,11312.66667,190.6666667,242,285,7719,261,277,234.6666667,273.3333333,12623.5,7764.444444,238,239.8333333,8196.777778,253.5,207,6635.666667,256.6666667,270,237.3333333,261.6666667,241.6666667,10536.16667,296.5,255.5,173.1666667,323.6666667,264.3333333,276.8333333,266.6666667,302.3333333,243.6666667,234.5,251.6666667,260,279.6666667,215,199.3333333,205.3333333,8867.777778,253.6666667,226.6666667,266,231.3333333
2022Q1,235.1666667,12662.66667,226.6666667,258.6666667,304.3333333,9475.333333,293.3333333,335.3333333,273.3333333,328,13392.33333,8964.111111,268,274.4,9450.555556,267.6666667,229,8109.222222,272.6666667,308,283.6666667,286.6666667,288,12298.16667,325.1666667,306.3333333,211.1666667,272,296,333.5,311,317.3333333,364.3333333,268.8333333,287.3333333,287.6666667,335,285,209.1666667,223,10413.88889,293.6666667,245.6666667,301.6666667,280
2022Q2,348.5,17602.5,282.6666667,342,396.3333333,11127,363.6666667,432.3333333,310.3333333,414,15751.66667,11619,343.6666667,373,11822.11111,310.1666667,247,10772.66667,313.6666667,384.1666667,342,413.6666667,399.3333333,16506.16667,405.3333333,364.5,288.1666667,363.6666667,343,448.6666667,384,395,373.3333333,345.8333333,363.6666667,363,428,337.6666667,272.6666667,289.6666667,12629,369,327,400.6666667,346.3333333
